Code Number,Summary
120,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy."
124,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear, including biopsy and otoscopy."
126,"The provider performs anesthesia services for a patient undergoing procedures on the external, middle, and inner ear including biopsy and tympanotomy."
144,The provider performs anesthesia services for a patient undergoing a corneal transplant.
148,The provider performs anesthesia services for a patient undergoing an ophthalmoscopy.
160,"The provider performs anesthesia services for a patient undergoing procedures on the nose and accessory sinuses, hollow chambers in the skull that open into the nasal cavity. Use this code when there is no more specific code available."
162,The provider performs anesthesia services for a patient undergoing radical surgery on the nose and accessory sinuses.
164,The provider performs anesthesia services for a patient undergoing soft tissue biopsy of the nose and accessory sinuses.
176,"The provider performs anesthesia services for a patient undergoing an intraoral procedure, including biopsy, radical surgery."
190,The provider performs anesthesia services for a patient undergoing a procedure on the facial bones or the skull.  
222,"The provider performs anesthesia services for a patient undergoing an intracranial procedure, including electrocoagulation of an intracranial nerve, which means to stop bleeding using electrocautery, or an electrical current.   "
300,"The provider performs anesthesia services for a patient undergoing any procedure on the integumentary system, muscles and nerves of head, neck, and posterior trunk."
320,"The provider performs anesthesia services for a patient undergoing any procedure on the esophagus, thyroid, larynx, trachea and lymphatic system of the neck when the patient is one year or older."
352,"The provider performs anesthesia services for a patient undergoing any procedure on the major vessels of neck, including simple ligation."
404,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system on the extremities, anterior trunk and perineum, including a radical or modified radical procedure on the breast."
406,"The provider performs anesthesia services for a patient undergoing a procedure on the integumentary system of the extremities, anterior trunk, and perineum, including a radical or modified radical procedure on the breast with internal mammary node dissection."
450,"The provider performs anesthesia services for a patient undergoing a procedure on the clavicle and scapula, which is not specified by another code. The clavicle and scapula are bones in the upper torso."
470,The provider performs anesthesia services for a patient undergoing partial rib removal in a procedure not otherwise specified by another code.
472,"The provider performs anesthesia services for a patient undergoing partial rib resection including thoracoplasty, in which another provider partially removes one or more ribs. The surgery may involve a reparative procedure on the thorax."
