Hospital,Description,CPT,Charge
AHMC Anaheim Regional Medical Center,"Blood Gas Analysis, including 02 saturation",82805,691
AHMC Anaheim Regional Medical Center,"Physical Therapy, Evaluation",97001,586
AHMC Anaheim Regional Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,382
AHMC Anaheim Regional Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,0
AHMC Anaheim Regional Medical Center,"Echocardiography, complete",93307,1860
AHMC Anaheim Regional Medical Center,"Cardiac Catheterization, Left Heart, percutaneous ",93452,20999
AHMC Anaheim Regional Medical Center,"X-Ray, Chest, two views",71020,642
AHMC Anaheim Regional Medical Center,"X-Ray, Lower Back, four views",72110,1201
AHMC Anaheim Regional Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1815
AHMC Anaheim Regional Medical Center,"Ultrasound, Abdomen, Complete",76700,2237
AHMC Anaheim Regional Medical Center,"MRI, Head or Brain, without contrast, followed by contrast",70553,8815
AHMC Anaheim Regional Medical Center,"Mammography, Screening, Bilateral",77067,410
AHMC Anaheim Regional Medical Center,"CT Scan, Pelvis, with contrast",72193,5235
AHMC Anaheim Regional Medical Center,"CT Scan, Head or Brain, without contrast",70450,3627
AHMC Anaheim Regional Medical Center,"CT Scan, Abdomen, with contrast",74160,5032
AHMC Anaheim Regional Medical Center,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,790
AHMC Anaheim Regional Medical Center,"Emergency Room Visit, Level 3 (moderate severity)",99283,1229
AHMC Anaheim Regional Medical Center,"Emergency Room Visit, Level 4 (high severity)",99284,2060
AHMC Anaheim Regional Medical Center,"Outpatient Visit, established patient, 15 minutes",99213,160
AHMC Anaheim Regional Medical Center,Basic Metabolic Panel,80048,437
AHMC Anaheim Regional Medical Center,Cesarean delivery only;,59514,43851
AHMC Anaheim Regional Medical Center,"Complete Blood Count, automated",85027,124
AHMC Anaheim Regional Medical Center,"Complete Blood Count, with differential WBC, automated",85025,240
AHMC Anaheim Regional Medical Center,Comprehensive Metabolic Panel,80053,441
AHMC Anaheim Regional Medical Center,"Creatine Kinase (CK), (CPK), Total",82550,273
AHMC Anaheim Regional Medical Center,Lipid Panel,80061,273
AHMC Anaheim Regional Medical Center,Partial Thromboplastin Time,85730,219
AHMC Anaheim Regional Medical Center,Prothrombin Time,85610,201
AHMC Anaheim Regional Medical Center,"Physical Therapy, Gait Training",97116,137
AHMC Anaheim Regional Medical Center,Thyroid Stimulating Hormone,84443,238
AHMC Anaheim Regional Medical Center,"Physical Therapy, Therapeutic Exercise",97110,213
AHMC Anaheim Regional Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,44312
AHMC Anaheim Regional Medical Center,"Treatment of missed abortion, completed surgically; first trimester",59820,24272
AHMC Anaheim Regional Medical Center,BIOPYS OF THYROID,60100,5678
AHMC Anaheim Regional Medical Center,"Urinalysis, without microscopy",81002,111
AHMC Anaheim Regional Medical Center,"Urinalysis, without microscopy",81003,111
AHMC Anaheim Regional Medical Center,"Urinalysis, with microscopy",81000,238
AHMC Anaheim Regional Medical Center,"Urinalysis, with microscopy",81001,238
AHMC Anaheim Regional Medical Center,Carpal Tunnel Surgery,64721,23746
AHMC Anaheim Regional Medical Center,"Vitrectomy, mechanical, pars plana approach; with endolaser panretinal photocoagulation",67040,28687
AHMC Anaheim Regional Medical Center,"Vitrectomy, mechanical, pars plana approach; with removal of internal limiting membrane of retina",67042,31798
AHMC Anaheim Regional Medical Center,"Repair of retinal detachment; with vitrectomy, any method, with or without air or gas tamponade, focal endolaser",67108,36862
