CPT Code,Zip,In-Network,Out-Network
99282,95901,$708 ,"$1,432 "
99282,93301,$764 ,"$1,807 "
99282,95422,$708 ,"$1,432 "
99282,91206,$597 ,"$1,239 "
99282,95490,$708 ,"$1,432 "
99282,95240,$818 ,"$1,665 "
99282,93654,$639 ,"$1,190 "
99282,93065,$607 ,"$1,456 "
99282,95370,$818 ,"$1,665 "
99282,94574,$882 ,"$1,766 "
99282,95482,$708 ,"$1,432 "
99282,94590,$882 ,"$1,766 "
99282,90033,$745 ,"$1,464 "
99282,93230,$764 ,"$1,807 "
99282,92801,$607 ,"$1,196 "
99282,94501,$882 ,"$1,766 "
99282,91801,$408 ,$997 
99282,94705,$882 ,"$1,766 "
99282,94609,$882 ,"$1,766 "
99282,92120,$613 ,"$1,244 "
99282,91942,$660 ,"$1,335 "
99282,93534,$764 ,"$1,807 "
99282,92324,$727 ,"$1,476 "
99282,95401,$708 ,"$1,432 "
99282,91724,$655 ,"$1,304 "
99282,91107,$408 ,$997 
99282,92128,$613 ,"$1,244 "
99282,93001,$607 ,"$1,456 "
99282,93309,$764 ,"$1,807 "
99282,93308,$764 ,"$1,807 "
99282,93301,$764 ,"$1,807 "
99282,92411,$727 ,"$1,476 "
99282,96130,$708 ,"$1,432 "
99282,90026,$745 ,"$1,464 "
99282,92311,$727 ,"$1,476 "
99282,96150,$708 ,"$1,432 "
99282,92315,$727 ,"$1,476 "
99282,90640,$634 ,"$1,270 "
99282,91770,$655 ,"$1,304 "
99282,90015,$745 ,"$1,464 "
99282,94114,$947 ,"$1,891 "
99282,94110,$947 ,"$1,891 "
99282,91710,$655 ,"$1,304 "
99282,91768,$655 ,"$1,304 "
99282,90704,N/A,N/A
99282,90048,$745 ,"$1,464 "
99282,90301,$911 ,"$1,826 "
99282,94618,$882 ,"$1,766 "
99282,94158,$947 ,"$1,891 "
99282,90027,$745 ,"$1,464 "
99282,92868,$607 ,"$1,196 "
99282,94133,$947 ,"$1,891 "
99282,91710,$655 ,"$1,304 "
99282,91010,$597 ,"$1,239 "
99282,93611,$639 ,"$1,190 "
99282,90650,$634 ,"$1,270 "
99282,92627,$519 ,"$1,141 "
99282,90255,$911 ,"$1,826 "
99282,92411,$727 ,"$1,476 "
99282,93940,$475 ,"$1,143 "
99282,93003,$607 ,"$1,456 "
99282,93721,$639 ,"$1,190 "
99282,94553,$882 ,"$1,766 "
99282,92882,$607 ,"$1,196 "
99282,95203,$818 ,"$1,665 "
99282,90505,$351 ,"$1,729 "
99282,93215,$764 ,"$1,807 "
99282,92262,$727 ,"$1,476 "
99282,92395,$727 ,"$1,476 "
99282,95336,$818 ,"$1,665 "
99282,95350,$818 ,"$1,665 "
99282,95065,$954 ,"$2,016 "
99282,90806,$541 ,"$1,429 "
99282,90023,$745 ,"$1,464 "
99282,96122,$708 ,"$1,432 "
99282,94546,$882 ,"$1,766 "
99282,92270,$727 ,"$1,476 "
99282,94040,$956 ,"$1,919 "
99282,92243,$727 ,"$1,476 "
99282,91741,$655 ,"$1,304 "
99282,91790,$655 ,"$1,304 "
99282,95382,$818 ,"$1,665 "
99282,91436,$333 ,$864 
99282,93309,$764 ,"$1,807 "
99282,95926,$708 ,"$1,432 "
99282,96097,$708 ,"$1,432 "
99282,92780,$751 ,"$1,722 "
99282,92708,$751 ,"$1,722 "
99282,93401,"$1,000 ","$2,147 "
99282,93710,$639 ,"$1,190 "
99282,91754,$655 ,"$1,304 "
99282,93930,$475 ,"$1,143 "
99282,91204,$597 ,"$1,239 "
99282,91740,$655 ,"$1,304 "
99282,93111,$384 ,$781 
99282,93308,$764 ,"$1,807 "
99282,90017,$745 ,"$1,464 "
99282,95124,$954 ,"$2,016 "
99282,91733,$655 ,"$1,304 "
99282,95023,$954 ,"$2,016 "
99282,95448,$708 ,"$1,432 "
99282,92866,$607 ,"$1,196 "
99282,92252,$727 ,"$1,476 "
99282,94602,$882 ,"$1,766 "
99282,92663,$519 ,"$1,141 "
99282,92618,$519 ,"$1,141 "
99282,91105,$408 ,$997 
99282,94112,$947 ,"$1,891 "
99282,95338,$818 ,"$1,665 "
99282,92201,$727 ,"$1,476 "
99282,94520,$882 ,"$1,766 "
99282,94520,$882 ,"$1,766 "
99282,94598,$882 ,"$1,766 "
99282,91335,$650 ,"$1,336 "
99282,94531,$882 ,"$1,766 "
99282,91706,$655 ,"$1,304 "
99282,90242,$911 ,"$1,826 "
99282,92335,$727 ,"$1,476 "
99282,94538,$882 ,"$1,766 "
99282,93720,$639 ,"$1,190 "
99282,90027,$745 ,"$1,464 "
99282,95356,$818 ,"$1,665 "
99282,92555,$686 ,"$1,253 "
99282,94611,$882 ,"$1,766 "
99282,92806,$607 ,"$1,196 "
99282,91402,$333 ,$864 
99282,94063,$956 ,"$1,919 "
99282,92505,$686 ,"$1,253 "
99282,95661,$726 ,"$1,437 "
99282,95823,"$1,041 ","$2,087 "
99282,92123,$613 ,"$1,244 "
99282,94115,$947 ,"$1,891 "
99282,95119,$954 ,"$2,016 "
99282,94577,$882 ,"$1,766 "
99282,94903,$882 ,"$1,766 "
99282,95051,$954 ,"$2,016 "
99282,95403,$708 ,"$1,432 "
99282,94080,$956 ,"$1,919 "
99282,95823,"$1,041 ","$2,087 "
99282,94080,$956 ,"$1,919 "
99282,95688,$726 ,"$1,437 "
99282,94596,$882 ,"$1,766 "
99282,90034,$745 ,"$1,464 "
99282,91367,$650 ,"$1,336 "
99282,94612,$882 ,"$1,766 "
99282,94589,$882 ,"$1,766 "
99282,94080,$956 ,"$1,919 "
99282,93291,$764 ,"$1,807 "
99282,90033,$745 ,"$1,464 "
99282,93240,$764 ,"$1,807 "
99282,91706,$655 ,"$1,304 "
99282,90638,$634 ,"$1,270 "
99282,90056,$745 ,"$1,464 "
99282,91764,$655 ,"$1,304 "
99282,91730,$655 ,"$1,304 "
99282,92571,$686 ,"$1,253 "
99282,92104,$613 ,"$1,244 "
99282,94577,$882 ,"$1,766 "
99282,90247,$911 ,"$1,826 "
99282,92683,$519 ,"$1,141 "
99282,90502,$351 ,"$1,729 "
99282,91342,$650 ,"$1,336 "
99282,90242,$911 ,"$1,826 "
99282,90033,$745 ,"$1,464 "
99282,94116,$947 ,"$1,891 "
99282,90712,$963 ,"$2,007 "
99282,94143,$947 ,"$1,891 "
99282,92373,$727 ,"$1,476 "
99282,92354,$727 ,"$1,476 "
99282,92354,$727 ,"$1,476 "
99282,92563,$686 ,"$1,253 "
99282,93436,N/A,N/A
99282,90806,N/A,N/A
99282,90720,N/A,N/A
99282,90023,N/A,N/A
99282,91360,N/A,N/A
99282,94304,$854 ,"$1,672 "
99282,93637,$639 ,"$1,190 "
99282,93546,$764 ,"$1,807 "
99282,93454,"$1,000 ","$2,147 "
99282,94904,$882 ,"$1,766 "
99282,90292,$911 ,"$1,826 "
99282,95249,$818 ,"$1,665 "
99282,95682,$726 ,"$1,437 "
99282,96028,$708 ,"$1,432 "
99282,90247,$911 ,"$1,826 "
99282,93635,$639 ,"$1,190 "
99282,95355,$818 ,"$1,665 "
99282,93301,$764 ,"$1,807 "
99282,96067,$708 ,"$1,432 "
99282,95340,$818 ,"$1,665 "
99282,96001,$708 ,"$1,432 "
99282,94010,$956 ,"$1,919 "
99282,91402,$333 ,$864 
99282,92691,$519 ,"$1,141 "
99282,96101,$708 ,"$1,432 "
99282,91016,$597 ,"$1,239 "
99282,91763,$655 ,"$1,304 "
99282,91754,$655 ,"$1,304 "
99282,91364,$650 ,"$1,336 "
99282,92352,N/A,N/A
99282,93901,$475 ,"$1,143 "
99282,94533,$882 ,"$1,766 "
99282,93514,$764 ,"$1,807 "
99282,91325,$650 ,"$1,336 "
99282,94945,$882 ,"$1,766 "
99282,95361,$818 ,"$1,665 "
99282,93023,$607 ,"$1,456 "
99282,92708,$751 ,"$1,722 "
99282,95966,$708 ,"$1,432 "
99282,91352,$650 ,"$1,336 "
