CPT Code,Zip,In-Network,Out-Network
82805,95901,$481,"$1,117"
82805,93301,$190,$458
82805,95422,$481,"$1,117"
82805,91206,$785,"$1,798"
82805,95490,$481,"$1,117"
82805,95240,$699,"$1,611"
82805,93654,$152,$379
82805,93065,$121,$303
82805,95370,$699,"$1,611"
82805,94574,$397,$929
82805,95482,$481,"$1,117"
82805,94590,$397,$929
82805,90033,$414,$960
82805,93230,$190,$458
82805,92801,$280,$661
82805,94501,$397,$929
82805,91801,$350,$852
82805,94705,$397,$929
82805,94609,$397,$929
82805,92120,$296,$703
82805,91942,$301,$709
82805,93534,$190,$458
82805,92324,$518,"$1,198"
82805,95401,$481,"$1,117"
82805,91724,$375,$877
82805,91107,$350,$852
82805,92128,$296,$703
82805,93001,$121,$303
82805,93309,$190,$458
82805,93308,$190,$458
82805,93301,$190,$458
82805,92411,$518,"$1,198"
82805,96130,$481,"$1,117"
82805,90026,$414,$960
82805,92311,$518,"$1,198"
82805,96150,$481,"$1,117"
82805,92315,$518,"$1,198"
82805,90640,$676,"$1,556"
82805,91770,$375,$877
82805,90015,$414,$960
82805,94114,$399,$918
82805,94110,$399,$918
82805,91710,$375,$877
82805,91768,$375,$877
82805,90704,N/A,N/A
82805,90048,$414,$960
82805,90301,$687,"$1,584"
82805,94618,$397,$929
82805,94158,$399,$918
82805,90027,$414,$960
82805,92868,$280,$661
82805,94133,$399,$918
82805,91710,$375,$877
82805,91010,$785,"$1,798"
82805,93611,$152,$379
82805,90650,$676,"$1,556"
82805,92627,$349,$822
82805,90255,$687,"$1,584"
82805,92411,$518,"$1,198"
82805,93940,$530,"$1,227"
82805,93003,$121,$303
82805,93721,$152,$379
82805,94553,$397,$929
82805,92882,$280,$661
82805,95203,$699,"$1,611"
82805,90505,$210,$495
82805,93215,$190,$458
82805,92262,$518,"$1,198"
82805,92395,$518,"$1,198"
82805,95336,$699,"$1,611"
82805,95350,$699,"$1,611"
82805,95065,$340,$798
82805,90806,$361,$847
82805,90023,$414,$960
82805,96122,$481,"$1,117"
82805,94546,$397,$929
82805,92270,$518,"$1,198"
82805,94040,$378,$910
82805,92243,$518,"$1,198"
82805,91741,$375,$877
82805,91790,$375,$877
82805,95382,$699,"$1,611"
82805,91436,$258,$599
82805,93309,$190,$458
82805,95926,$481,"$1,117"
82805,96097,$481,"$1,117"
82805,92780,$527,"$1,210"
82805,92708,$527,"$1,210"
82805,93401,$251,$589
82805,93710,$152,$379
82805,91754,$375,$877
82805,93930,$530,"$1,227"
82805,91204,$785,"$1,798"
82805,91740,$375,$877
82805,93111,$194,$461
82805,93308,$190,$458
82805,90017,$414,$960
82805,95124,$340,$798
82805,91733,$375,$877
82805,95023,$340,$798
82805,95448,$481,"$1,117"
82805,92866,$280,$661
82805,92252,$518,"$1,198"
82805,94602,$397,$929
82805,92663,$349,$822
82805,92618,$349,$822
82805,91105,$350,$852
82805,94112,$399,$918
82805,95338,$699,"$1,611"
82805,92201,$518,"$1,198"
82805,94520,$397,$929
82805,94520,$397,$929
82805,94598,$397,$929
82805,91335,$552,"$1,290"
82805,94531,$397,$929
82805,91706,$375,$877
82805,90242,$687,"$1,584"
82805,92335,$518,"$1,198"
82805,94538,$397,$929
82805,93720,$152,$379
82805,90027,$414,$960
82805,95356,$699,"$1,611"
82805,92555,$268,$637
82805,94611,$397,$929
82805,92806,$280,$661
82805,91402,$258,$599
82805,94063,$378,$910
82805,92505,$268,$637
82805,95661,$373,$873
82805,95823,$378,$898
82805,92123,$296,$703
82805,94115,$399,$918
82805,95119,$340,$798
82805,94577,$397,$929
82805,94903,$397,$929
82805,95051,$340,$798
82805,95403,$481,"$1,117"
