facility_desc,site_address1,site_address2,site_city,site_zip,site_x_coordinate,site_y_coordinate,oshpd_id,license_type_desc,license_category_desc,license_number,facility_level_desc,er_service_level_desc,licensed_beds,facility_status_desc,financial_facility_count,consolidated_facility_desc_pipe,consolidated_facility_desc_comma,period_begin_date,period_end_date,net_pat_rev_medicare_traditional_ip,net_pat_rev_medicare_managed_ip,net_pat_rev_medi_cal_traditional_ip,net_pat_rev_medi_cal_managed_ip,net_pat_rev_county_indigent_traditional_ip,net_pat_rev_county_indigent_managed_ip,net_pat_rev_third_party_traditional_ip,net_pat_rev_third_party_managed_ip,net_pat_rev_other_indigent_ip,net_pat_rev_other_payer_ip,net_pat_rev_total_ip,net_pat_rev_medicare_traditional_op,net_pat_rev_medicare_managed_op,net_pat_rev_medi_cal_traditional_op,net_pat_rev_medi_cal_managed_op,net_pat_rev_county_indigent_traditional_op,net_pat_rev_county_indigent_managed_op,net_pat_rev_third_party_traditional_op,net_pat_rev_third_party_managed_op,net_pat_rev_other_indigent_op,net_pat_rev_other_payer_op,net_pat_rev_total_op,payer_mix_medicare_traditional_ip,payer_mix_medicare_traditional_ip_state,payer_mix_medicare_managed_ip,payer_mix_medicare_managed_ip_state,payer_mix_medi_cal_traditional_ip,payer_mix_medi_cal_traditional_ip_state,payer_mix_medi_cal_managed_ip,payer_mix_medi_cal_managed_ip_state,payer_mix_county_indigent_traditional_ip,payer_mix_county_indigent_traditional_ip_state,payer_mix_county_indigent_managed_ip,payer_mix_county_indigent_managed_ip_state,payer_mix_third_party_traditional_ip,payer_mix_third_party_traditional_ip_state,payer_mix_third_party_managed_ip,payer_mix_third_party_managed_ip_state,payer_mix_other_indigent_ip,payer_mix_other_indigent_ip_state,payer_mix_other_payer_ip,payer_mix_other_payer_ip_state,payer_mix_medicare_traditional_op,payer_mix_medicare_traditional_op_state,payer_mix_medicare_managed_op,payer_mix_medicare_managed_op_state,payer_mix_medi_cal_traditional_op,payer_mix_medi_cal_traditional_op_state,payer_mix_medi_cal_managed_op,payer_mix_medi_cal_managed_op_state,payer_mix_county_indigent_traditional_op,payer_mix_county_indigent_traditional_op_state,payer_mix_county_indigent_managed_op,payer_mix_county_indigent_managed_op_state,payer_mix_third_party_traditional_op,payer_mix_third_party_traditional_op_state,payer_mix_third_party_managed_op,payer_mix_third_party_managed_op_state,payer_mix_other_indigent_op,payer_mix_other_indigent_op_state,payer_mix_other_payer_op,payer_mix_other_payer_op_state,avg_stay_medicare_traditional,avg_stay_medicare_managed,avg_stay_medi_cal_traditional,avg_stay_medi_cal_managed,avg_stay_county_indigent_traditional,avg_stay_county_indigent_managed,avg_stay_third_party_traditional,avg_stay_third_party_managed,avg_stay_other_indigent_total,avg_stay_other_payer_total,avg_stay_total,active_projects,active_project_costs,active_projects_state,active_project_costs_state,spc_1,spc_2,spc_3,spc_4,spc_5,spc_1_state,spc_2_state,spc_3_state,spc_4_state,spc_5_state,sysdate
REGIONAL MEDICAL CENTER OF SAN JOSE,225 NORTH JACKSON AVENUE,,SAN JOSE,95116,-121.84837,37.36332,106430705,Hospital,General Acute Care Hospital,70000005,Parent Facility,Basic,258,Open,1,REGIONAL MEDICAL CENTER OF SAN JOSE,REGIONAL MEDICAL CENTER OF SAN JOSE,1/1/2019,12/31/2019,120385517,25201319,41713863,31943840,0,0,19324395,85797609,10195,5548989,329925726,10107276,6761093,11930058,17359379,0,0,9628353,38509815,-10195,3588380,97874160,0.32994567,0.2477,0.173985299,0.1502,0.090060722,0.1187,0.218024928,0.192,0,0.0068,0,0.0002,0.01936721,0.0345,0.12674976,0.2291,0.015723873,0.0048,0.026142538,0.016,0.120985184,0.2401,0.090200562,0.0777,0.096184079,0.076,0.379486447,0.2407,0,0.009,0,0.0019,0.042818351,0.0505,0.124720118,0.265,0.023895955,0.0074,0.121709304,0.0317,5.8138,5.0419,5.8481,4.8868,0,0,3.6337,3.8341,4.0894,4.0978,5.1154,13,49474208,5417,9852285352,3,0,3,2,6,115,654,377,783,1193,
EL CAMINO HOSPITAL LOS GATOS,815 POLLARD ROAD,,LOS GATOS,95032,-121.97057,37.26277,106430743,Hospital,General Acute Care Hospital,70000660,Consolidated Facility,Basic,143,Open,2,EL CAMINO HEALTH|EL CAMINO HOSPITAL LOS GATOS,"EL CAMINO HEALTH, EL CAMINO HOSPITAL LOS GATOS",7/1/2018,6/30/2019,158059541,34031469,11417721,11465875,0,0,10044455,320896044,117107,2303936,548336148,44075264,16939096,5221479,9131351,0,0,5105981,313339794,0,1898919,395711884,0.344088207,0.2477,0.094304151,0.1502,0.027234388,0.1187,0.061277374,0.192,0,0.0068,0,0.0002,0.020832275,0.0345,0.434022661,0.2291,0.004522128,0.0048,0.013718815,0.016,0.308241758,0.2401,0.046675547,0.0777,0.022982573,0.076,0.07988678,0.2407,0,0.009,0,0.0019,0.021484071,0.0505,0.476578977,0.265,0.00970141,0.0074,0.034448884,0.0317,5.0124,5.0749,5.3284,4.7206,0,0,4.761,3.8757,4.2247,3.9778,4.4927,4,5648409,5417,9852285352,0,8,0,7,3,115,654,377,783,1193,
MISSION OAKS HOSPITAL,15891 LOS GATOS-ALMADEN ROAD,,LOS GATOS,95032,-121.94622,37.24364,106430915,Hospital,General Acute Care Hospital,70000048,Consolidated Facility,Not Specified,70,Open,2,GOOD SAMARITAN HOSPITAL-SAN JOSE|MISSION OAKS HOSPITAL,"GOOD SAMARITAN HOSPITAL-SAN JOSE, MISSION OAKS HOSPITAL",1/1/2019,12/31/2019,142474601,27929198,14380916,9852948,0,0,29224621,267702390,149708,214803,491929185,26571479,11619239,1472359,8134790,0,0,11008677,175160392,388966,-156921,234198981,0.344885038,0.2477,0.08602688,0.1502,0.042707986,0.1187,0.054370765,0.192,0,0.0068,0,0.0002,0.015161613,0.0345,0.429134733,0.2291,0.003554371,0.0048,0.024158614,0.016,0.300271358,0.2401,0.069565089,0.0777,0.015160677,0.076,0.094938576,0.2407,0,0.009,0,0.0019,0.020263395,0.0505,0.471492619,0.265,0.002831566,0.0074,0.025476721,0.0317,5.2878,5.1937,9.7451,5.0112,0,0,4.5092,3.9959,5.75,1.8437,4.8072,1,146406,5417,9852285352,0,0,1,0,0,115,654,377,783,1193,
EL CAMINO HEALTH,2500 GRANT ROAD,,MOUNTAIN VIEW,94040,-122.07801,37.36779,106430763,Hospital,General Acute Care Hospital,70000660,Parent Facility,Basic,311,Open,2,EL CAMINO HEALTH|EL CAMINO HOSPITAL LOS GATOS,"EL CAMINO HEALTH, EL CAMINO HOSPITAL LOS GATOS",7/1/2018,6/30/2019,158059541,34031469,11417721,11465875,0,0,10044455,320896044,117107,2303936,548336148,44075264,16939096,5221479,9131351,0,0,5105981,313339794,0,1898919,395711884,0.344088207,0.2477,0.094304151,0.1502,0.027234388,0.1187,0.061277374,0.192,0,0.0068,0,0.0002,0.020832275,0.0345,0.434022661,0.2291,0.004522128,0.0048,0.013718815,0.016,0.308241758,0.2401,0.046675547,0.0777,0.022982573,0.076,0.07988678,0.2407,0,0.009,0,0.0019,0.021484071,0.0505,0.476578977,0.265,0.00970141,0.0074,0.034448884,0.0317,5.0124,5.0749,5.3284,4.7206,0,0,4.761,3.8757,4.2247,3.9778,4.4927,15,132517969,5417,9852285352,0,0,3,0,12,115,654,377,783,1193,
GOOD SAMARITAN HOSPITAL-SAN JOSE,2425 SAMARITAN DRIVE,,SAN JOSE,95124,-121.9449,37.25116,106430779,Hospital,General Acute Care Hospital,70000048,Parent Facility,Basic,404,Open,2,GOOD SAMARITAN HOSPITAL-SAN JOSE|MISSION OAKS HOSPITAL,"GOOD SAMARITAN HOSPITAL-SAN JOSE, MISSION OAKS HOSPITAL",1/1/2019,12/31/2019,142474601,27929198,14380916,9852948,0,0,29224621,267702390,149708,214803,491929185,26571479,11619239,1472359,8134790,0,0,11008677,175160392,388966,-156921,234198981,0.344885038,0.2477,0.08602688,0.1502,0.042707986,0.1187,0.054370765,0.192,0,0.0068,0,0.0002,0.015161613,0.0345,0.429134733,0.2291,0.003554371,0.0048,0.024158614,0.016,0.300271358,0.2401,0.069565089,0.0777,0.015160677,0.076,0.094938576,0.2407,0,0.009,0,0.0019,0.020263395,0.0505,0.471492619,0.265,0.002831566,0.0074,0.025476721,0.0317,5.2878,5.1937,9.7451,5.0112,0,0,4.5092,3.9959,5.75,1.8437,4.8072,13,28848140,5417,9852285352,0,1,1,0,4,115,654,377,783,1193,
O'CONNOR HOSPITAL,2105 FOREST AVENUE,,SAN JOSE,95128,-121.93727,37.32714,106430837,Hospital,General Acute Care Hospital,70000085,Consolidated Facility,Basic,358,Open,1,O'CONNOR HOSPITAL,O'CONNOR HOSPITAL,7/1/2018,2/28/2019,21907241,6535949,20762484,12896766,0,0,1148784,24826316,0,198544,88276085,15189637,4290449,5729043,9902869,0,0,778318,26637487,0,2944157,65471959,0.278088764,0.2477,0.108756497,0.1502,0.168132747,0.1187,0.174330268,0.192,0,0.0068,0,0.0002,0.040383846,0.0345,0.221911236,0.2291,0,0.0048,0.008396641,0.016,0.239208902,0.2401,0.099286415,0.0777,0.100899882,0.076,0.266987142,0.2407,0,0.009,0,0.0019,0.019344966,0.0505,0.249372079,0.265,0,0.0074,0.024900614,0.0317,5.7843,4.6011,7.7955,5.5264,0,0,4.1881,3.6721,0,3.4524,5.396,17,30857090,5417,9852285352,2,1,2,3,2,115,654,377,783,1193,
CHILDREN'S HOSPITAL AT MISSION,"27700 MEDICAL CTR. RD., 5TH FL",,MISSION VIEJO,92691,-117.66768,33.56279,106304113,Hospital,General Acute Care Hospital,60000348,Parent Facility,Basic,54,Open,1,CHILDREN'S HOSPITAL AT MISSION,CHILDREN'S HOSPITAL AT MISSION,7/1/2018,6/30/2019,0,0,4179232,6896794,0,0,1086583,31035517,0,336889,43535015,0,0,532337,10404804,0,0,1213707,23720005,0,428356,36299209,0,0.2477,0,0.1502,0.168355041,0.1187,0.259527255,0.192,0,0.0068,0,0.0002,0.02170767,0.0345,0.534008683,0.2291,0,0.0048,0.016401351,0.016,0,0.2401,0,0.0777,0.040814412,0.076,0.37868268,0.2407,0,0.009,0,0.0019,0.023738037,0.0505,0.535325577,0.265,0,0.0074,0.021439294,0.0317,0,0,5.49,2.4888,0,0,2.5111,3.9232,0,2.7353,3.7646,,,5417,9852285352,,,,,,115,654,377,783,1193,
SANTA CLARA VALLEY MEDICAL CENTER,751 SOUTH BASCOM AVENUE,,SAN JOSE,95128-2699,-121.93202,37.31346,106430883,Hospital,General Acute Care Hospital,70000085,Parent Facility,Comprehensive,731,Open,1,SANTA CLARA VALLEY MEDICAL CENTER,SANTA CLARA VALLEY MEDICAL CENTER,7/1/2019,6/30/2020,177568135,73238735,312929879,436147562,1378305,46849,28357096,144137992,8920778,0,1182725332,86473415,38105898,228861521,338650130,6769845,191775,28372075,86187052,54427462,0,868039172,0.229816455,0.247,0.086349634,0.1053,0.178218457,0.1571,0.350885637,0.2192,0.017488127,0.0136,0.000256706,0.0005,0.012353998,0.0484,0.101752022,0.1883,0.022878963,0.0066,0,0.014,0.156546684,0.2469,0.048615793,0.07,0.180228913,0.0883,0.404495885,0.2495,0.023383168,0.0165,0.000893248,0.0044,0.015103898,0.0533,0.134890987,0.2328,0.035841424,0.0104,0,0.028,6.414,5.8714,6.4503,4.3309,3.7431,1.375,9.0545,7.4462,3.9888,0,5.6768,32,149779482,5417,9852285352,5,6,1,3,4,115,654,377,783,1193,
STANFORD HEALTH CARE,300 PASTEUR DRIVE,,PALO ALTO,94305,-122.175881,37.433,106430905,Hospital,General Acute Care Hospital,70000662,Parent Facility,Basic,236,Open,1,STANFORD HEALTH CARE,STANFORD HEALTH CARE,9/1/2018,8/31/2019,458129336,80089474,92642460,83032434,0,0,40210961,1106298264,0,6840399,1867243328,325229261,78629504,41851543,93399913,0,0,249661771,1857733870,0,17126073,2663631935,0.390958914,0.2477,0.079596866,0.1502,0.041012249,0.1187,0.118071137,0.192,0,0.0068,0,0.0002,0.026924633,0.0345,0.323536985,0.2291,0.009526612,0.0048,0.010372605,0.016,0.335112713,0.2401,0.055359285,0.0777,0.016071761,0.076,0.087904243,0.2407,0,0.009,0,0.0019,0.045837137,0.0505,0.442741064,0.265,0.001033458,0.0074,0.015940339,0.0317,5.6982,5.4353,7.6709,5.652,0,0,7.3456,5.5723,5.749,3.6986,5.7361,94,477468474,5417,9852285352,6,3,4,3,3,115,654,377,783,1193,
DOMINICAN HOSPITAL,1555 SOQUEL DRIVE,,SANTA CRUZ,95065,-121.98489,36.98806,106440755,Hospital,General Acute Care Hospital,70000030,Parent Facility,Basic,222,Open,1,DOMINICAN HOSPITAL,DOMINICAN HOSPITAL,7/1/2018,6/30/2019,99206484,7583545,8812369,48312805,0,0,13157883,114941223,0,3511650,295525959,41180488,3043456,3122547,23782678,0,0,10104796,73043327,0,3419226,157696518,0.459316594,0.2477,0.04143855,0.1502,0.051161035,0.1187,0.199641306,0.192,0,0.0068,0,0.0002,0.028884274,0.0345,0.192467434,0.2291,0.002076647,0.0048,0.025014159,0.016,0.405739531,0.2401,0.035591477,0.0777,0.040405596,0.076,0.19566234,0.2407,0,0.009,0,0.0019,0.062313969,0.0505,0.214451163,0.265,0.006437166,0.0074,0.039398758,0.0317,5.3958,4.5057,5.5609,4.9437,0,0,4.134,4.1653,2.7727,2.5774,4.9279,15,23996206,5417,9852285352,0,2,1,3,0,115,654,377,783,1193,
